거래선코드,거래선명,연월,n_orders,total_amount
CL-026,파인에어컨,2024-10,81,35070193
CL-026,파인에어컨,2024-11,48,21407514
CL-026,파인에어컨,2024-12,49,20164922
CL-026,파인에어컨,2025-01,46,18412107
CL-026,파인에어컨,2025-02,56,30897262
CL-026,파인에어컨,2025-03,85,30886356
CL-026,파인에어컨,2025-04,97,39926733
CL-026,파인에어컨,2025-05,129,52501796
CL-026,파인에어컨,2025-06,161,64345277
CL-026,파인에어컨,2025-07,153,67075191
CL-026,파인에어컨,2025-08,127,53226938
CL-026,파인에어컨,2025-09,92,35611549
CL-026,파인에어컨,2025-10,71,30083110
CL-026,파인에어컨,2025-11,40,15661562
CL-026,파인에어컨,2025-12,57,21134917
CL-026,파인에어컨,2026-01,37,20094026
CL-026,파인에어컨,2026-02,52,27211471
CL-026,파인에어컨,2026-03,94,37550345
CL-026,파인에어컨,2026-04,63,29317123
CL-026,파인에어컨,2026-05,106,39649821
CL-026,파인에어컨,2026-06,142,59857381
CL-027,동서설치,2024-07,175,67171269
CL-027,동서설치,2024-08,152,64388992
CL-027,동서설치,2024-09,110,46516110
CL-027,동서설치,2024-10,99,39663484
CL-027,동서설치,2024-11,72,28945787
CL-027,동서설치,2024-12,69,34071799
CL-027,동서설치,2025-01,52,22164312
CL-027,동서설치,2025-02,73,31364042
CL-027,동서설치,2025-03,109,52538464
CL-027,동서설치,2025-04,130,57508431
CL-027,동서설치,2025-05,135,53180005
CL-027,동서설치,2025-06,183,85331852
CL-027,동서설치,2025-07,168,73466718
CL-027,동서설치,2025-08,141,52760586
CL-027,동서설치,2025-09,107,38823903
CL-027,동서설치,2025-10,84,38158724
CL-027,동서설치,2025-11,45,19038869
CL-027,동서설치,2025-12,61,26703439
CL-027,동서설치,2026-01,63,28632967
CL-027,동서설치,2026-02,70,29100823
CL-027,동서설치,2026-03,103,44315133
CL-027,동서설치,2026-04,88,37138694
CL-027,동서설치,2026-05,111,45003839
CL-027,동서설치,2026-06,138,62929112
CL-028,명성설비,2024-07,186,69844628
CL-028,명성설비,2024-08,151,65176877
CL-028,명성설비,2024-09,88,41598954
CL-028,명성설비,2024-10,77,34559481
CL-028,명성설비,2024-11,70,30950641
CL-028,명성설비,2024-12,61,25017911
CL-028,명성설비,2025-01,43,15779606
CL-028,명성설비,2025-02,71,34402557
CL-028,명성설비,2025-03,103,46962762
CL-028,명성설비,2025-04,133,48671926
CL-028,명성설비,2025-05,160,62916600
CL-028,명성설비,2025-06,169,72045031
CL-028,명성설비,2025-07,176,69293585
CL-028,명성설비,2025-08,161,60771968
CL-028,명성설비,2025-09,105,39816338
CL-028,명성설비,2025-10,93,41718910
CL-028,명성설비,2025-11,53,24072563
CL-028,명성설비,2025-12,61,18498383
CL-028,명성설비,2026-01,59,28306502
CL-028,명성설비,2026-02,70,37932080
CL-028,명성설비,2026-03,100,36510728
CL-028,명성설비,2026-04,82,39289763
CL-028,명성설비,2026-05,118,46118468
CL-028,명성설비,2026-06,155,62812118
CL-029,이든에어컨,2024-07,164,80057378
CL-029,이든에어컨,2024-08,142,54227608
CL-029,이든에어컨,2024-09,88,42160886
CL-029,이든에어컨,2024-10,65,27169582
CL-029,이든에어컨,2024-11,61,25236773
CL-029,이든에어컨,2024-12,49,20997316
CL-029,이든에어컨,2025-01,51,20906292
CL-029,이든에어컨,2025-02,50,24206475
CL-029,이든에어컨,2025-03,68,29869614
CL-029,이든에어컨,2025-04,94,42787168
CL-029,이든에어컨,2025-05,122,51889283
CL-029,이든에어컨,2025-06,161,70001609
CL-029,이든에어컨,2025-07,157,78489175
CL-029,이든에어컨,2025-08,133,49190657
CL-029,이든에어컨,2025-09,79,32068234
CL-029,이든에어컨,2025-10,83,38256498
CL-029,이든에어컨,2025-11,48,20479268
CL-029,이든에어컨,2025-12,44,19052004
CL-029,이든에어컨,2026-01,47,24796222
CL-029,이든에어컨,2026-02,49,30375765
CL-029,이든에어컨,2026-03,77,37530692
CL-029,이든에어컨,2026-04,82,32182809
CL-029,이든에어컨,2026-05,93,40984791
CL-029,이든에어컨,2026-06,112,46652773
CL-030,창조설치,2024-07,190,65324286
CL-030,창조설치,2024-08,141,57139287
CL-030,창조설치,2024-09,113,47835776
CL-030,창조설치,2024-10,88,39469364
CL-030,창조설치,2024-11,73,31576617
CL-030,창조설치,2024-12,53,22734011
CL-030,창조설치,2025-01,58,20680727
CL-030,창조설치,2025-02,62,28377911
CL-030,창조설치,2025-03,91,36196949
CL-030,창조설치,2025-04,114,49766386
CL-030,창조설치,2025-05,148,57158970
CL-030,창조설치,2025-06,201,81472017
CL-030,창조설치,2025-07,168,71373527
CL-030,창조설치,2025-08,155,56106667
CL-030,창조설치,2025-09,91,40138071
CL-030,창조설치,2025-10,84,31940726
CL-030,창조설치,2025-11,71,28663532
CL-030,창조설치,2025-12,69,26335877
CL-030,창조설치,2026-01,61,25708424
CL-030,창조설치,2026-02,71,37507005
CL-030,창조설치,2026-03,119,51413066
CL-030,창조설치,2026-04,79,29062111
CL-030,창조설치,2026-05,109,46040849
CL-030,창조설치,2026-06,174,61169475
CL-031,세종설비,2024-07,171,68626064
CL-031,세종설비,2024-08,147,61063863
CL-031,세종설비,2024-09,102,48316445
CL-031,세종설비,2024-10,84,39207050
CL-031,세종설비,2024-11,66,24583190
CL-031,세종설비,2024-12,64,32778478
CL-031,세종설비,2025-01,49,21695151
CL-031,세종설비,2025-02,55,27067864
CL-031,세종설비,2025-03,83,34693176
CL-031,세종설비,2025-04,105,45929191
CL-031,세종설비,2025-05,149,60426956
CL-031,세종설비,2025-06,148,63695042
CL-031,세종설비,2025-07,153,57875754
CL-031,세종설비,2025-08,128,52623058
CL-031,세종설비,2025-09,110,52065639
CL-031,세종설비,2025-10,83,33274988
CL-031,세종설비,2025-11,55,22011518
CL-031,세종설비,2025-12,51,15831102
CL-031,세종설비,2026-01,57,26980528
CL-031,세종설비,2026-02,59,21727761
CL-031,세종설비,2026-03,69,35415156
CL-031,세종설비,2026-04,79,40174752
CL-031,세종설비,2026-05,91,35352768
CL-031,세종설비,2026-06,155,64687467
CL-032,다온에어컨,2024-07,185,71535716
CL-032,다온에어컨,2024-08,156,62192363
CL-032,다온에어컨,2024-09,110,38906218
CL-032,다온에어컨,2024-10,83,30396819
CL-032,다온에어컨,2024-11,79,33555657
CL-032,다온에어컨,2024-12,56,20533578
CL-032,다온에어컨,2025-01,47,17485357
CL-032,다온에어컨,2025-02,69,27530406
CL-032,다온에어컨,2025-03,86,33203906
CL-032,다온에어컨,2025-04,131,49221531
CL-032,다온에어컨,2025-05,164,64185564
CL-032,다온에어컨,2025-06,162,65325003
CL-032,다온에어컨,2025-07,190,74617076
CL-032,다온에어컨,2025-08,165,61976461
CL-032,다온에어컨,2025-09,127,54692941
CL-032,다온에어컨,2025-10,73,30196136
CL-032,다온에어컨,2025-11,68,23071160
CL-032,다온에어컨,2025-12,61,26875360
CL-032,다온에어컨,2026-01,53,23645116
CL-032,다온에어컨,2026-02,73,39261913
CL-032,다온에어컨,2026-03,92,40340748
CL-032,다온에어컨,2026-04,99,37522908
CL-032,다온에어컨,2026-05,110,44864796
CL-032,다온에어컨,2026-06,148,57451982
CL-033,우성건설 기전팀,2024-07,180,64703661
CL-033,우성건설 기전팀,2024-08,147,64349229
CL-033,우성건설 기전팀,2024-09,93,33899744
CL-033,우성건설 기전팀,2024-10,74,25728186
CL-033,우성건설 기전팀,2024-11,53,19295493
CL-033,우성건설 기전팀,2024-12,37,13401632
CL-033,우성건설 기전팀,2025-01,38,14658655
CL-033,우성건설 기전팀,2025-02,56,23368316
CL-033,우성건설 기전팀,2025-03,83,28361927
CL-033,우성건설 기전팀,2025-04,101,42804753
CL-033,우성건설 기전팀,2025-05,128,46439432
CL-033,우성건설 기전팀,2025-06,172,67014669
CL-033,우성건설 기전팀,2025-07,152,57391308
CL-033,우성건설 기전팀,2025-08,115,46498106
CL-033,우성건설 기전팀,2025-09,110,45351332
CL-033,우성건설 기전팀,2025-10,79,32605219
CL-033,우성건설 기전팀,2025-11,56,25799172
CL-033,우성건설 기전팀,2025-12,50,19968976
CL-033,우성건설 기전팀,2026-01,49,18176755
CL-033,우성건설 기전팀,2026-02,50,25644734
CL-033,우성건설 기전팀,2026-03,66,30790514
CL-033,우성건설 기전팀,2026-04,67,21389166
CL-033,우성건설 기전팀,2026-05,98,42321301
CL-033,우성건설 기전팀,2026-06,127,49945469
CL-034,한양건설 설비팀,2024-07,162,58808139
CL-034,한양건설 설비팀,2024-08,137,56679981
CL-034,한양건설 설비팀,2024-09,94,41093053
CL-034,한양건설 설비팀,2024-10,58,22778024
CL-034,한양건설 설비팀,2024-11,71,34161533
CL-034,한양건설 설비팀,2024-12,50,17329992
CL-034,한양건설 설비팀,2025-01,51,21909767
CL-034,한양건설 설비팀,2025-02,52,20918872
CL-034,한양건설 설비팀,2025-03,87,35458751
CL-034,한양건설 설비팀,2025-04,109,45964630
CL-034,한양건설 설비팀,2025-05,132,54866154
CL-034,한양건설 설비팀,2025-06,174,69417585
CL-034,한양건설 설비팀,2025-07,170,72246061
CL-034,한양건설 설비팀,2025-08,123,51968517
CL-034,한양건설 설비팀,2025-09,75,28950827
CL-034,한양건설 설비팀,2025-10,69,29781460
CL-034,한양건설 설비팀,2025-11,50,22884602
CL-034,한양건설 설비팀,2025-12,58,25542944
CL-034,한양건설 설비팀,2026-01,40,18449815
CL-034,한양건설 설비팀,2026-02,66,25432762
CL-034,한양건설 설비팀,2026-03,80,41655599
CL-034,한양건설 설비팀,2026-04,74,35465891
CL-034,한양건설 설비팀,2026-05,111,46607392
CL-034,한양건설 설비팀,2026-06,155,57335632
CL-035,대성엔지니어링,2024-07,183,74468102
CL-035,대성엔지니어링,2024-08,139,52840312
CL-035,대성엔지니어링,2024-09,124,53767912
CL-035,대성엔지니어링,2024-10,92,45416951
CL-035,대성엔지니어링,2024-11,59,25194358
CL-035,대성엔지니어링,2024-12,55,19873359
CL-035,대성엔지니어링,2025-01,44,20183909
CL-035,대성엔지니어링,2025-02,60,21707142
CL-035,대성엔지니어링,2025-03,112,48461316
CL-035,대성엔지니어링,2025-04,119,54082315
CL-035,대성엔지니어링,2025-05,152,58118515
CL-035,대성엔지니어링,2025-06,208,92370226
CL-035,대성엔지니어링,2025-07,158,60188128
CL-035,대성엔지니어링,2025-08,144,51715120
CL-035,대성엔지니어링,2025-09,109,43706066
CL-035,대성엔지니어링,2025-10,84,32172220
CL-035,대성엔지니어링,2025-11,80,33203385
CL-035,대성엔지니어링,2025-12,67,25164643
CL-035,대성엔지니어링,2026-01,59,22780735
CL-035,대성엔지니어링,2026-02,69,25644235
CL-035,대성엔지니어링,2026-03,95,39884932
CL-035,대성엔지니어링,2026-04,81,40157227
CL-035,대성엔지니어링,2026-05,107,36919379
CL-035,대성엔지니어링,2026-06,165,63603810
CL-036,유니텍엔지니어링,2024-07,171,65747020
CL-036,유니텍엔지니어링,2024-08,128,53635107
CL-036,유니텍엔지니어링,2024-09,91,40939187
CL-036,유니텍엔지니어링,2024-10,71,26031771
CL-036,유니텍엔지니어링,2024-11,53,18273088
CL-036,유니텍엔지니어링,2024-12,50,19920501
CL-036,유니텍엔지니어링,2025-01,54,22408607
CL-036,유니텍엔지니어링,2025-02,43,13097555
CL-036,유니텍엔지니어링,2025-03,84,35187573
CL-036,유니텍엔지니어링,2025-04,97,35604739
CL-036,유니텍엔지니어링,2025-05,158,67848813
CL-036,유니텍엔지니어링,2025-06,169,58213445
CL-036,유니텍엔지니어링,2025-07,163,67683170
CL-036,유니텍엔지니어링,2025-08,130,61316396
CL-036,유니텍엔지니어링,2025-09,100,43697294
CL-036,유니텍엔지니어링,2025-10,74,32297253
CL-036,유니텍엔지니어링,2025-11,63,29044144
CL-036,유니텍엔지니어링,2025-12,54,28552577
CL-036,유니텍엔지니어링,2026-01,52,24660213
CL-036,유니텍엔지니어링,2026-02,76,32637189
CL-036,유니텍엔지니어링,2026-03,98,38202981
CL-036,유니텍엔지니어링,2026-04,87,34694444
CL-036,유니텍엔지니어링,2026-05,100,39286463
CL-036,유니텍엔지니어링,2026-06,112,43486993
CL-037,신한엔지니어링,2024-07,148,56259470
CL-037,신한엔지니어링,2024-08,145,58167947
CL-037,신한엔지니어링,2024-09,99,38421874
CL-037,신한엔지니어링,2024-10,76,32983278
CL-037,신한엔지니어링,2024-11,66,27172970
CL-037,신한엔지니어링,2024-12,53,25698148
CL-037,신한엔지니어링,2025-01,54,21859058
CL-037,신한엔지니어링,2025-02,61,21924084
CL-037,신한엔지니어링,2025-03,86,40703368
CL-037,신한엔지니어링,2025-04,123,43962172
CL-037,신한엔지니어링,2025-05,146,64403871
CL-037,신한엔지니어링,2025-06,169,73541263
CL-037,신한엔지니어링,2025-07,164,65030125
CL-037,신한엔지니어링,2025-08,155,55082792
CL-037,신한엔지니어링,2025-09,97,34939968
CL-037,신한엔지니어링,2025-10,90,32253824
CL-037,신한엔지니어링,2025-11,62,25517548
CL-037,신한엔지니어링,2025-12,46,25160420
CL-037,신한엔지니어링,2026-01,51,24040425
CL-037,신한엔지니어링,2026-02,65,33002646
CL-037,신한엔지니어링,2026-03,86,37247173
CL-037,신한엔지니어링,2026-04,79,35643345
CL-037,신한엔지니어링,2026-05,99,39782549
CL-037,신한엔지니어링,2026-06,162,65692075
CL-038,동아설비상사,2024-07,164,61457590
CL-038,동아설비상사,2024-08,130,47288327
CL-038,동아설비상사,2024-09,101,39206905
CL-038,동아설비상사,2024-10,88,33373833
CL-038,동아설비상사,2024-11,63,26428006
CL-038,동아설비상사,2024-12,55,19040990
CL-038,동아설비상사,2025-01,46,17424064
CL-038,동아설비상사,2025-02,56,28790146
CL-038,동아설비상사,2025-03,89,33202941
CL-038,동아설비상사,2025-04,125,49453285
CL-038,동아설비상사,2025-05,131,49608384
CL-038,동아설비상사,2025-06,174,69327848
CL-038,동아설비상사,2025-07,174,67874295
CL-038,동아설비상사,2025-08,114,40240827
CL-038,동아설비상사,2025-09,76,28008710
CL-038,동아설비상사,2025-10,65,31042112
CL-038,동아설비상사,2025-11,58,23383177
CL-038,동아설비상사,2025-12,59,24338282
CL-038,동아설비상사,2026-01,59,30946253
CL-038,동아설비상사,2026-02,61,21914095
CL-038,동아설비상사,2026-03,97,37365701
CL-038,동아설비상사,2026-04,87,29410498
CL-038,동아설비상사,2026-05,93,36062412
CL-038,동아설비상사,2026-06,126,48625501
CL-039,한강유통산업,2024-07,190,66012059
CL-039,한강유통산업,2024-08,142,52524554
CL-039,한강유통산업,2024-09,112,52517127
CL-039,한강유통산업,2024-10,96,37499899
CL-039,한강유통산업,2024-11,65,28522154
CL-039,한강유통산업,2024-12,74,35460008
CL-039,한강유통산업,2025-01,43,17361842
CL-039,한강유통산업,2025-02,68,27210323
CL-039,한강유통산업,2025-03,103,39743171
CL-039,한강유통산업,2025-04,126,57365414
CL-039,한강유통산업,2025-05,162,65964824
CL-039,한강유통산업,2025-06,196,82556021
CL-039,한강유통산업,2025-07,190,78409480
CL-039,한강유통산업,2025-08,147,58277914
CL-039,한강유통산업,2025-09,103,46460032
CL-039,한강유통산업,2025-10,90,38219662
CL-039,한강유통산업,2025-11,78,34770740
CL-039,한강유통산업,2025-12,44,16714848
CL-039,한강유통산업,2026-01,50,25033771
CL-039,한강유통산업,2026-02,57,19032694
CL-039,한강유통산업,2026-03,91,43727853
CL-039,한강유통산업,2026-04,80,25832316
CL-039,한강유통산업,2026-05,99,41138756
CL-039,한강유통산업,2026-06,162,66614248
CL-040,대신설비산업,2024-07,175,66877879
CL-040,대신설비산업,2024-08,162,66502511
CL-040,대신설비산업,2024-09,121,42665605
CL-040,대신설비산업,2024-10,79,30270826
CL-040,대신설비산업,2024-11,75,35298647
CL-040,대신설비산업,2024-12,71,30850437
CL-040,대신설비산업,2025-01,72,23853930
CL-040,대신설비산업,2025-02,55,19951547
CL-040,대신설비산업,2025-03,105,38633199
CL-040,대신설비산업,2025-04,115,45583180
CL-040,대신설비산업,2025-05,161,63187161
CL-040,대신설비산업,2025-06,205,82626893
CL-040,대신설비산업,2025-07,156,62249079
CL-040,대신설비산업,2025-08,148,57143134
CL-040,대신설비산업,2025-09,96,35769671
CL-040,대신설비산업,2025-10,102,39021210
CL-040,대신설비산업,2025-11,55,21665055
CL-040,대신설비산업,2025-12,53,20449906
CL-040,대신설비산업,2026-01,46,21078095
CL-040,대신설비산업,2026-02,64,31956024
CL-040,대신설비산업,2026-03,97,45153793
CL-040,대신설비산업,2026-04,93,40504121
CL-040,대신설비산업,2026-05,121,52871256
CL-040,대신설비산업,2026-06,161,60606894
